"","aou","abs_abs_glmocc","abs_pres_glmocc","pres_abs_glmocc","pres_pres_glmocc","abs_abs_glmpr","abs_pres_glmpr","pres_abs_glmpr","pres_pres_glmpr","abs_abs_gamocc","abs_pres_gamocc","pres_abs_gamocc","pres_pres_gamocc","abs_abs_gampr","abs_pres_gampr","pres_abs_gampr","pres_pres_gampr","abs_abs_rfocc","abs_pres_rfocc","pres_abs_rfocc","pres_pres_rfocc","abs_abs_rfpr","abs_pres_rfpr","pres_abs_rfpr","pres_pres_rfpr","abs_abs_maxpr","abs_pres_maxpr","pres_abs_maxpr","pres_pres_maxpr","length","sensitivity_glmocc","specificity_glmocc","pp_glmocc","np_glmocc","sensitivity_glmpr","specificity_glmpr","pp_glmpr","np_glmpr","sensitivity_gamocc","specificity_gamocc","pp_gamocc","np_gamocc","sensitivity_gampr","specificity_gampr","pp_gampr","np_gampr","sensitivity_rfocc","specificity_rfocc","pp_rfocc","np_rfocc","sensitivity_rfpr","specificity_rfpr","pp_rfpr","np_rfpr","sensitivity_max","specificity_max","pp_max","np_max"
"1",2881,170,8,12,3,114,1,68,10,179,9,3,2,126,1,56,10,173,8,9,3,122,2,60,9,37,1,145,10,193,27.2727272727273,93.4065934065934,20,95.5056179775281,90.9090909090909,62.6373626373626,12.8205128205128,99.1304347826087,18.1818181818182,98.3516483516484,40,95.2127659574468,90.9090909090909,69.2307692307692,15.1515151515152,99.2125984251969,27.2727272727273,95.0549450549451,25,95.5801104972376,81.8181818181818,67.032967032967,13.0434782608696,98.3870967741936,90.9090909090909,20.3296703296703,6.45161290322581,97.3684210526316
"2",2890,160,20,98,189,28,1,230,208,164,14,94,195,55,2,203,207,162,13,96,196,56,1,202,208,258,209,0,0,467,90.4306220095694,62.015503875969,65.8536585365854,88.8888888888889,99.5215311004785,10.8527131782946,47.4885844748858,96.551724137931,93.3014354066986,63.5658914728682,67.4740484429066,92.1348314606742,99.0430622009569,21.3178294573643,50.4878048780488,96.4912280701754,93.7799043062201,62.7906976744186,67.1232876712329,92.5714285714286,99.5215311004785,21.7054263565891,50.7317073170732,98.2456140350877,0,100,NA,55.2462526766595
"3",3000,358,22,36,4,231,9,163,17,349,16,45,10,231,5,163,21,372,21,22,5,227,6,167,20,394,26,0,0,420,15.3846153846154,90.8629441624365,10,94.2105263157895,65.3846153846154,58.6294416243655,9.44444444444444,96.25,38.4615384615385,88.5786802030457,18.1818181818182,95.6164383561644,80.7692307692308,58.6294416243655,11.4130434782609,97.8813559322034,19.2307692307692,94.4162436548223,18.5185185185185,94.6564885496183,76.9230769230769,57.6142131979695,10.6951871657754,97.4248927038627,0,100,NA,93.8095238095238
"4",3120,98,6,18,19,78,3,38,22,102,6,14,19,76,0,40,25,101,7,15,18,71,4,45,21,116,25,0,0,141,76,84.4827586206897,51.3513513513513,94.2307692307692,88,67.2413793103448,36.6666666666667,96.2962962962963,76,87.9310344827586,57.5757575757576,94.4444444444444,100,65.5172413793103,38.4615384615385,100,72,87.0689655172414,54.5454545454545,93.5185185185185,84,61.2068965517241,31.8181818181818,94.6666666666667,0,100,NA,82.2695035460993
"5",3160,22,9,103,761,7,1,118,769,31,8,94,762,17,0,108,770,26,6,99,764,6,1,119,769,125,770,0,0,895,98.8311688311688,17.6,88.0787037037037,70.9677419354839,99.8701298701299,5.6,86.6967305524239,87.5,98.961038961039,24.8,89.018691588785,79.4871794871795,100,13.6,87.6993166287016,100,99.2207792207792,20.8,88.5283893395133,81.25,99.8701298701299,4.8,86.5990990990991,85.7142857142857,0,100,NA,13.9664804469274
"6",3190,40,9,17,17,4,2,53,24,38,4,19,22,6,1,51,25,40,9,17,17,2,0,55,26,12,0,45,26,83,65.3846153846154,70.1754385964912,50,81.6326530612245,92.3076923076923,7.01754385964912,31.1688311688312,66.6666666666667,84.6153846153846,66.6666666666667,53.6585365853659,90.4761904761905,96.1538461538462,10.5263157894737,32.8947368421053,85.7142857142857,65.3846153846154,70.1754385964912,50,81.6326530612245,100,3.50877192982456,32.0987654320988,100,100,21.0526315789474,36.6197183098592,100
"7",3250,256,112,139,359,16,1,379,470,271,123,124,348,42,3,353,468,281,131,114,340,38,4,357,467,395,471,0,0,866,76.2208067940552,64.8101265822785,72.0883534136546,69.5652173913043,99.7876857749469,4.05063291139241,55.359246171967,94.1176470588235,73.8853503184713,68.6075949367089,73.728813559322,68.7817258883249,99.3630573248408,10.6329113924051,57.0036540803898,93.3333333333333,72.1868365180467,71.1392405063291,74.8898678414097,68.2038834951456,99.1507430997877,9.62025316455696,56.6747572815534,90.4761904761905,0,100,NA,45.6120092378753
"8",3390,352,72,53,79,173,8,232,143,350,60,55,91,173,10,232,141,351,63,54,88,185,10,220,141,405,151,0,0,556,52.317880794702,86.9135802469136,59.8484848484849,83.0188679245283,94.7019867549669,42.7160493827161,38.1333333333333,95.5801104972376,60.2649006622517,86.4197530864197,62.3287671232877,85.3658536585366,93.3774834437086,42.7160493827161,37.8016085790885,94.5355191256831,58.2781456953642,86.6666666666667,61.9718309859155,84.7826086956522,93.3774834437086,45.679012345679,39.0581717451524,94.8717948717949,0,100,NA,72.841726618705
"9",3850,56,30,10,16,19,2,47,44,61,24,5,22,26,1,40,45,51,21,15,25,20,2,46,44,12,2,54,44,112,34.7826086956522,84.8484848484848,61.5384615384615,65.1162790697674,95.6521739130435,28.7878787878788,48.3516483516484,90.4761904761905,47.8260869565217,92.4242424242424,81.4814814814815,71.7647058823529,97.8260869565217,39.3939393939394,52.9411764705882,96.2962962962963,54.3478260869565,77.2727272727273,62.5,70.8333333333333,95.6521739130435,30.3030303030303,48.8888888888889,90.9090909090909,95.6521739130435,18.1818181818182,44.8979591836735,85.7142857142857
"10",3870,191,48,98,253,8,0,281,301,209,57,80,244,16,1,273,300,218,58,71,243,29,2,260,299,289,301,0,0,590,84.0531561461794,66.0899653979239,72.0797720797721,79.9163179916318,100,2.7681660899654,51.7182130584193,100,81.063122923588,72.318339100346,75.3086419753086,78.5714285714286,99.6677740863787,5.5363321799308,52.3560209424084,94.1176470588235,80.7308970099668,75.4325259515571,77.3885350318471,78.9855072463768,99.3355481727575,10.0346020761246,53.4883720930233,93.5483870967742,0,100,NA,48.9830508474576
"11",3880,443,53,54,24,232,3,265,74,415,40,82,37,246,3,251,74,427,38,70,39,246,3,251,74,497,77,0,0,574,31.1688311688312,89.1348088531187,30.7692307692308,89.3145161290323,96.1038961038961,46.6800804828974,21.8289085545723,98.7234042553192,48.0519480519481,83.5010060362173,31.0924369747899,91.2087912087912,96.1038961038961,49.4969818913481,22.7692307692308,98.7951807228916,50.6493506493506,85.9154929577465,35.7798165137615,91.8279569892473,96.1038961038961,49.4969818913481,22.7692307692308,98.7951807228916,0,100,NA,86.5853658536585
"12",3930,523,168,93,100,93,16,523,252,515,143,101,125,135,10,481,258,477,125,139,143,143,7,473,261,616,268,0,0,884,37.3134328358209,84.9025974025974,51.8134715025907,75.6874095513748,94.0298507462687,15.0974025974026,32.5161290322581,85.3211009174312,46.6417910447761,83.6038961038961,55.3097345132743,78.2674772036474,96.2686567164179,21.9155844155844,34.9120433017591,93.1034482758621,53.3582089552239,77.4350649350649,50.709219858156,79.2358803986711,97.3880597014925,23.2142857142857,35.558583106267,95.3333333333333,0,100,NA,69.683257918552
"13",3940,279,41,196,383,113,2,362,422,280,34,195,390,119,3,356,421,288,42,187,382,113,5,362,419,475,424,0,0,899,90.3301886792453,58.7368421052632,66.1485319516407,87.1875,99.5283018867924,23.7894736842105,53.8265306122449,98.2608695652174,91.9811320754717,58.9473684210526,66.6666666666667,89.171974522293,99.2924528301887,25.0526315789474,54.1827541827542,97.5409836065574,90.0943396226415,60.6315789473684,67.1353251318102,87.2727272727273,98.8207547169811,23.7894736842105,53.6491677336748,95.7627118644068,0,100,NA,52.8364849833148
"14",3960,15,2,30,25,1,1,44,26,32,3,13,24,7,1,38,26,17,6,28,21,0,1,45,26,9,2,36,25,72,92.5925925925926,33.3333333333333,45.4545454545455,88.2352941176471,96.2962962962963,2.22222222222222,37.1428571428571,50,88.8888888888889,71.1111111111111,64.8648648648649,91.4285714285714,96.2962962962963,15.5555555555556,40.625,87.5,77.7777777777778,37.7777777777778,42.8571428571429,73.9130434782609,96.2962962962963,0,36.6197183098592,0,92.5925925925926,20,40.9836065573771,81.8181818181818
"15",4020,80,24,48,103,27,4,101,123,92,17,36,110,52,1,76,126,84,24,44,103,42,2,86,125,128,127,0,0,255,81.1023622047244,62.5,68.2119205298013,76.9230769230769,96.8503937007874,21.09375,54.9107142857143,87.0967741935484,86.6141732283465,71.875,75.3424657534247,84.4036697247707,99.2125984251969,40.625,62.3762376237624,98.1132075471698,81.1023622047244,65.625,70.0680272108844,77.7777777777778,98.4251968503937,32.8125,59.2417061611374,95.4545454545455,0,100,NA,50.1960784313725
"16",4021,88,7,24,31,64,0,48,38,92,10,20,28,67,0,45,38,87,5,25,33,67,0,45,38,29,4,83,34,150,81.5789473684211,78.5714285714286,56.3636363636364,92.6315789473684,100,57.1428571428571,44.1860465116279,100,73.6842105263158,82.1428571428571,58.3333333333333,90.1960784313726,100,59.8214285714286,45.7831325301205,100,86.8421052631579,77.6785714285714,56.8965517241379,94.5652173913043,100,59.8214285714286,45.7831325301205,100,89.4736842105263,25.8928571428571,29.0598290598291,87.8787878787879
"17",4050,93,29,244,267,6,0,331,296,155,36,182,260,10,0,327,296,169,52,168,244,6,0,331,296,337,296,0,0,633,90.2027027027027,27.5964391691395,52.2504892367906,76.2295081967213,100,1.78041543026706,47.2089314194577,100,87.8378378378378,45.9940652818991,58.8235294117647,81.151832460733,100,2.9673590504451,47.5120385232745,100,82.4324324324324,50.1483679525223,59.2233009708738,76.4705882352941,100,1.78041543026706,47.2089314194577,100,0,100,NA,53.2385466034755
"18",4060,357,71,96,101,198,12,255,160,384,69,69,103,220,8,233,164,386,72,67,100,213,15,240,157,453,172,0,0,625,58.7209302325581,78.8079470198676,51.2690355329949,83.411214953271,93.0232558139535,43.7086092715232,38.5542168674699,94.2857142857143,59.8837209302326,84.7682119205298,59.8837209302326,84.7682119205298,95.3488372093023,48.5651214128035,41.3098236775819,96.4912280701754,58.1395348837209,85.2097130242826,59.8802395209581,84.2794759825327,91.2790697674419,47.0198675496689,39.5465994962217,93.4210526315789,0,100,NA,72.48
"19",4090,33,10,118,361,0,0,151,371,55,10,96,361,3,1,148,370,48,13,103,358,0,0,151,371,151,371,0,0,522,97.3045822102426,21.8543046357616,75.3653444676409,76.7441860465116,100,0,71.0727969348659,NA,97.3045822102426,36.4238410596026,78.9934354485777,84.6153846153846,99.7304582210243,1.98675496688742,71.4285714285714,75,96.4959568733154,31.7880794701987,77.6572668112798,78.6885245901639,100,0,71.0727969348659,NA,0,100,NA,28.9272030651341
"20",4120,68,23,212,363,31,1,249,385,129,22,151,364,40,1,240,385,139,28,141,358,35,1,245,385,280,386,0,0,666,94.0414507772021,24.2857142857143,63.1304347826087,74.7252747252747,99.7409326424871,11.0714285714286,60.7255520504732,96.875,94.300518134715,46.0714285714286,70.6796116504854,85.4304635761589,99.7409326424871,14.2857142857143,61.6,97.5609756097561,92.7461139896373,49.6428571428571,71.7434869739479,83.2335329341317,99.7409326424871,12.5,61.1111111111111,97.2222222222222,0,100,NA,42.042042042042
"21",4230,121,34,163,322,38,4,246,352,143,33,141,323,50,2,234,354,143,34,141,322,56,4,228,352,284,356,0,0,640,90.4494382022472,42.6056338028169,66.3917525773196,78.0645161290323,98.876404494382,13.3802816901408,58.8628762541806,90.4761904761905,90.7303370786517,50.3521126760563,69.6120689655172,81.25,99.438202247191,17.6056338028169,60.2040816326531,96.1538461538462,90.4494382022472,50.3521126760563,69.5464362850972,80.7909604519774,98.876404494382,19.7183098591549,60.6896551724138,93.3333333333333,0,100,NA,44.375
"22",4250,137,9,30,8,107,6,60,11,160,11,7,6,125,8,42,9,123,14,44,3,111,11,56,6,23,1,144,16,184,47.0588235294118,82.0359281437126,21.0526315789474,93.8356164383562,64.7058823529412,64.0718562874251,15.4929577464789,94.6902654867257,35.2941176470588,95.8083832335329,46.1538461538462,93.5672514619883,52.9411764705882,74.8502994011976,17.6470588235294,93.984962406015,17.6470588235294,73.6526946107784,6.38297872340426,89.7810218978102,35.2941176470588,66.4670658682635,9.67741935483871,90.983606557377,94.1176470588235,13.7724550898204,10,95.8333333333333
"23",4280,157,38,245,159,14,0,388,197,195,44,207,153,23,2,379,195,261,92,141,105,25,2,377,195,402,197,0,0,599,80.7106598984772,39.0547263681592,39.3564356435644,80.5128205128205,100,3.48258706467662,33.6752136752137,100,77.6649746192893,48.5074626865672,42.5,81.5899581589958,98.9847715736041,5.72139303482587,33.9721254355401,92,53.2994923857868,64.9253731343284,42.6829268292683,73.9376770538244,98.9847715736041,6.21890547263682,34.0909090909091,92.5925925925926,0,100,NA,67.1118530884808
"24",4290,114,9,26,13,18,0,122,22,136,12,4,10,62,1,78,21,130,13,10,9,57,6,83,16,22,0,118,22,162,59.0909090909091,81.4285714285714,33.3333333333333,92.6829268292683,100,12.8571428571429,15.2777777777778,100,45.4545454545455,97.1428571428571,71.4285714285714,91.8918918918919,95.4545454545455,44.2857142857143,21.2121212121212,98.4126984126984,40.9090909090909,92.8571428571429,47.3684210526316,90.9090909090909,72.7272727272727,40.7142857142857,16.1616161616162,90.4761904761905,100,15.7142857142857,15.7142857142857,100
"25",4320,48,3,30,11,5,0,73,14,48,3,30,11,11,0,67,14,43,6,35,8,8,0,70,14,21,1,57,13,92,78.5714285714286,61.5384615384615,26.8292682926829,94.1176470588235,100,6.41025641025641,16.0919540229885,100,78.5714285714286,61.5384615384615,26.8292682926829,94.1176470588235,100,14.1025641025641,17.2839506172839,100,57.1428571428571,55.1282051282051,18.6046511627907,87.7551020408163,100,10.2564102564103,16.6666666666667,100,92.8571428571429,26.9230769230769,18.5714285714286,95.4545454545455
"26",4330,53,8,15,15,23,1,45,22,49,6,19,17,26,1,42,22,53,9,15,14,22,1,46,22,68,23,0,0,91,65.2173913043478,77.9411764705882,50,86.8852459016393,95.6521739130435,33.8235294117647,32.8358208955224,95.8333333333333,73.9130434782609,72.0588235294118,47.2222222222222,89.0909090909091,95.6521739130435,38.2352941176471,34.375,96.2962962962963,60.8695652173913,77.9411764705882,48.2758620689655,85.4838709677419,95.6521739130435,32.3529411764706,32.3529411764706,95.6521739130435,0,100,NA,74.7252747252747
"27",4430,20,5,20,50,2,0,38,55,26,2,14,53,9,0,31,55,21,6,19,49,5,0,35,55,11,2,29,53,95,90.9090909090909,50,71.4285714285714,80,100,5,59.1397849462366,100,96.3636363636364,65,79.1044776119403,92.8571428571429,100,22.5,63.953488372093,100,89.0909090909091,52.5,72.0588235294118,77.7777777777778,100,12.5,61.1111111111111,100,96.3636363636364,27.5,64.6341463414634,84.6153846153846
"28",4440,89,28,217,428,20,2,286,454,121,33,185,423,27,1,279,455,144,41,162,415,30,2,276,454,306,456,0,0,762,93.859649122807,29.0849673202614,66.3565891472868,76.0683760683761,99.5614035087719,6.5359477124183,61.3513513513513,90.9090909090909,92.7631578947368,39.5424836601307,69.5723684210526,78.5714285714286,99.780701754386,8.82352941176471,61.9891008174387,96.4285714285714,91.0087719298246,47.0588235294118,71.9237435008665,77.8378378378378,99.5614035087719,9.80392156862745,62.1917808219178,93.75,0,100,NA,40.1574803149606
"29",4470,98,24,109,122,29,5,178,141,122,25,85,121,36,5,171,141,122,31,85,115,28,6,179,140,37,13,170,133,353,83.5616438356164,47.3429951690821,52.8138528138528,80.327868852459,96.5753424657534,14.0096618357488,44.2006269592476,85.2941176470588,82.8767123287671,58.9371980676328,58.7378640776699,82.9931972789116,96.5753424657534,17.3913043478261,45.1923076923077,87.8048780487805,78.7671232876712,58.9371980676328,57.5,79.7385620915033,95.8904109589041,13.5265700483092,43.8871473354232,82.3529411764706,91.0958904109589,17.8743961352657,43.8943894389439,74
"30",4520,28,8,153,429,8,3,173,434,54,12,127,425,25,3,156,434,54,14,127,423,17,4,164,433,181,437,0,0,618,98.1693363844393,15.4696132596685,73.7113402061856,77.7777777777778,99.3135011441648,4.41988950276243,71.499176276771,72.7272727272727,97.254004576659,29.8342541436464,76.9927536231884,81.8181818181818,99.3135011441648,13.8121546961326,73.5593220338983,89.2857142857143,96.7963386727689,29.8342541436464,76.9090909090909,79.4117647058823,99.0846681922197,9.39226519337017,72.5293132328308,80.9523809523809,0,100,NA,29.2880258899676
"31",4540,44,12,28,75,25,2,47,85,55,4,17,83,41,0,31,87,43,8,29,79,23,2,49,85,17,9,55,78,159,86.2068965517241,61.1111111111111,72.8155339805825,78.5714285714286,97.7011494252874,34.7222222222222,64.3939393939394,92.5925925925926,95.4022988505747,76.3888888888889,83,93.2203389830508,100,56.9444444444444,73.728813559322,100,90.8045977011494,59.7222222222222,73.1481481481482,84.3137254901961,97.7011494252874,31.9444444444444,63.4328358208955,92,89.6551724137931,23.6111111111111,58.6466165413534,65.3846153846154
"32",4560,7,7,158,419,1,0,164,426,65,17,100,409,24,0,141,426,49,18,116,408,10,0,155,426,165,426,0,0,591,98.3568075117371,4.24242424242424,72.6169844020797,50,100,0.606060606060606,72.2033898305085,100,96.0093896713615,39.3939393939394,80.3536345776031,79.2682926829268,100,14.5454545454545,75.1322751322751,100,95.7746478873239,29.6969696969697,77.8625954198473,73.134328358209,100,6.06060606060606,73.3218588640275,100,0,100,NA,27.9187817258883
"33",4570,113,24,59,72,51,8,121,88,127,24,45,72,64,5,108,91,125,30,47,66,69,7,103,89,47,5,125,91,268,75,65.6976744186046,54.9618320610687,82.4817518248175,91.6666666666667,29.6511627906977,42.1052631578947,86.4406779661017,75,73.8372093023256,61.5384615384615,84.1059602649007,94.7916666666667,37.2093023255814,45.7286432160804,92.7536231884058,68.75,72.6744186046512,58.4070796460177,80.6451612903226,92.7083333333333,40.1162790697674,46.3541666666667,90.7894736842105,94.7916666666667,27.3255813953488,42.1296296296296,90.3846153846154
"34",4590,342,31,45,38,253,7,134,62,347,24,40,45,250,4,137,65,349,29,38,40,226,4,161,65,387,69,0,0,456,55.0724637681159,88.3720930232558,45.7831325301205,91.6890080428954,89.8550724637681,65.374677002584,31.6326530612245,97.3076923076923,65.2173913043478,89.6640826873385,52.9411764705882,93.5309973045822,94.2028985507246,64.5994832041344,32.1782178217822,98.4251968503937,57.9710144927536,90.1808785529716,51.2820512820513,92.3280423280423,94.2028985507246,58.3979328165375,28.7610619469027,98.2608695652174,0,100,NA,84.8684210526316
"35",4610,22,8,160,395,5,0,177,403,54,12,128,391,17,1,165,402,56,16,126,387,5,0,177,403,182,403,0,0,585,98.014888337469,12.0879120879121,71.1711711711712,73.3333333333333,100,2.74725274725275,69.4827586206897,100,97.0223325062035,29.6703296703297,75.3371868978805,81.8181818181818,99.7518610421836,9.34065934065934,70.8994708994709,94.4444444444444,96.029776674938,30.7692307692308,75.4385964912281,77.7777777777778,100,2.74725274725275,69.4827586206897,100,0,100,NA,31.1111111111111
"36",4620,110,37,54,113,43,4,121,146,119,30,45,120,49,5,115,145,112,35,52,115,46,3,118,147,164,150,0,0,314,75.3333333333333,67.0731707317073,67.6646706586826,74.8299319727891,97.3333333333333,26.219512195122,54.6816479400749,91.4893617021277,80,72.5609756097561,72.7272727272727,79.8657718120805,96.6666666666667,29.8780487804878,55.7692307692308,90.7407407407407,76.6666666666667,68.2926829268293,68.8622754491018,76.1904761904762,98,28.0487804878049,55.4716981132075,93.8775510204082,0,100,NA,52.2292993630573
"37",4640,104,10,13,15,80,8,37,17,107,8,10,17,75,5,42,20,98,11,19,14,71,10,46,15,33,1,84,24,142,60,88.8888888888889,53.5714285714286,91.2280701754386,68,68.3760683760684,31.4814814814815,90.9090909090909,68,91.4529914529915,62.962962962963,93.0434782608696,80,64.1025641025641,32.258064516129,93.75,56,83.7606837606838,42.4242424242424,89.9082568807339,60,60.6837606837607,24.5901639344262,87.6543209876543,96,28.2051282051282,22.2222222222222,97.0588235294118
"38",4641,11,7,23,32,1,1,33,38,19,8,15,31,3,1,31,38,9,10,25,29,0,0,34,39,34,39,0,0,73,82.051282051282,32.3529411764706,58.1818181818182,61.1111111111111,97.4358974358974,2.94117647058824,53.5211267605634,50,79.4871794871795,55.8823529411765,67.3913043478261,70.3703703703704,97.4358974358974,8.82352941176471,55.0724637681159,75,74.3589743589744,26.4705882352941,53.7037037037037,47.3684210526316,100,0,53.4246575342466,NA,0,100,NA,46.5753424657534
"39",4650,152,37,94,146,101,2,145,181,182,26,64,157,108,1,138,182,171,24,75,159,113,3,133,180,246,183,0,0,429,79.7814207650273,61.7886178861789,60.8333333333333,80.4232804232804,98.9071038251366,41.0569105691057,55.521472392638,98.0582524271845,85.792349726776,73.9837398373984,71.0407239819005,87.5,99.4535519125683,43.9024390243902,56.875,99.0825688073395,86.8852459016393,69.5121951219512,67.948717948718,87.6923076923077,98.3606557377049,45.9349593495935,57.5079872204473,97.4137931034483,0,100,NA,57.3426573426573
"40",4660,431,86,122,90,250,13,303,163,459,58,94,118,274,14,279,162,471,63,82,113,294,12,259,164,553,176,0,0,729,51.1363636363636,77.9385171790235,42.4528301886792,83.3655705996132,92.6136363636364,45.2079566003617,34.9785407725322,95.0570342205323,67.0454545454545,83.001808318264,55.6603773584906,88.7814313346228,92.0454545454545,49.5479204339964,36.734693877551,95.1388888888889,64.2045454545455,85.1717902350814,57.948717948718,88.2022471910112,93.1818181818182,53.1645569620253,38.7706855791962,96.078431372549,0,100,NA,75.8573388203018
"41",4661,134,25,60,109,67,2,127,132,136,17,58,117,71,2,123,132,120,17,74,117,61,1,133,133,194,134,0,0,328,81.3432835820896,69.0721649484536,64.4970414201183,84.2767295597484,98.5074626865672,34.5360824742268,50.965250965251,97.1014492753623,87.3134328358209,70.1030927835051,66.8571428571429,88.8888888888889,98.5074626865672,36.5979381443299,51.7647058823529,97.2602739726027,87.3134328358209,61.8556701030928,61.2565445026178,87.5912408759124,99.2537313432836,31.4432989690722,50,98.3870967741936,0,100,NA,59.1463414634146
"42",4670,131,16,89,120,13,1,207,135,133,15,87,121,30,1,190,135,121,20,99,116,19,2,201,134,220,136,0,0,356,88.2352941176471,59.5454545454545,57.4162679425837,89.1156462585034,99.2647058823529,5.90909090909091,39.4736842105263,92.8571428571429,88.9705882352941,60.4545454545455,58.1730769230769,89.8648648648649,99.2647058823529,13.6363636363636,41.5384615384615,96.7741935483871,85.2941176470588,55,53.953488372093,85.8156028368794,98.5294117647059,8.63636363636364,40,90.4761904761905,0,100,NA,61.7977528089888
"43",4680,74,12,48,44,54,2,68,54,96,11,26,45,68,0,54,56,81,15,41,41,59,3,63,53,122,56,0,0,178,78.5714285714286,60.655737704918,47.8260869565217,86.046511627907,96.4285714285714,44.2622950819672,44.2622950819672,96.4285714285714,80.3571428571429,78.6885245901639,63.3802816901408,89.7196261682243,100,55.7377049180328,50.9090909090909,100,73.2142857142857,66.3934426229508,50,84.375,94.6428571428571,48.3606557377049,45.6896551724138,95.1612903225807,0,100,NA,68.5393258426966
"44",4690,91,17,34,46,62,6,63,57,102,11,23,52,67,5,58,58,94,15,31,48,60,7,65,56,37,3,88,60,188,73.015873015873,72.8,57.5,84.2592592592593,90.4761904761905,49.6,47.5,91.1764705882353,82.5396825396825,81.6,69.3333333333333,90.2654867256637,92.0634920634921,53.6,50,93.0555555555556,76.1904761904762,75.2,60.7594936708861,86.2385321100918,88.8888888888889,48,46.2809917355372,89.5522388059701,95.2380952380952,29.6,40.5405405405405,92.5
"45",4740,348,88,118,226,200,16,266,298,362,43,104,271,277,15,189,299,365,55,101,259,262,14,204,300,466,314,0,0,780,71.9745222929936,74.6781115879828,65.6976744186046,79.8165137614679,94.9044585987261,42.9184549356223,52.8368794326241,92.5925925925926,86.3057324840764,77.6824034334764,72.2666666666667,89.3827160493827,95.2229299363057,59.4420600858369,61.2704918032787,94.8630136986301,82.484076433121,78.3261802575107,71.9444444444444,86.9047619047619,95.5414012738854,56.2231759656652,59.5238095238095,94.9275362318841,0,100,NA,59.7435897435897
"46",4750,159,28,50,101,132,8,77,121,175,22,34,107,136,4,73,125,163,30,46,99,124,6,85,123,31,17,178,112,338,78.2945736434108,76.0765550239234,66.887417218543,85.0267379679144,93.7984496124031,63.1578947368421,61.1111111111111,94.2857142857143,82.9457364341085,83.7320574162679,75.886524822695,88.8324873096447,96.8992248062015,65.0717703349282,63.1313131313131,97.1428571428571,76.7441860465116,77.9904306220096,68.2758620689655,84.4559585492228,95.3488372093023,59.3301435406699,59.1346153846154,95.3846153846154,86.8217054263566,14.8325358851675,38.6206896551724,64.5833333333333
